year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
2006,crd,2,0.3125,4,1,63603.0,63603.0,1.0,8.0,1.02,64580.0
2007,crd,2,0.5,2,1,64580.0,63313.72549019608,1.02,8.0,1.01,64096.0
2008,crd,5,0.5625,1,5,64096.0,63461.38613861387,1.01,8.0,1.0,63142.0
2009,crd,5,0.625,1,3,63142.0,63142.0,1.0,8.0,0.99,62774.0
2010,crd,3,0.3125,4,1,62774.0,63408.08080808081,0.99,8.0,0.97,61181.0
2011,crd,3,0.5,2,1,61181.0,63073.19587628865,0.97,8.0,0.96,60890.0
2012,crd,3,0.3125,4,1,60890.0,63427.08333333334,0.96,8.0,0.96,61033.0
2013,crd,4,0.625,3,1,61033.0,63576.04166666668,0.96,8.0,0.98,61979.0
2014,crd,4,0.6875,2,2,61979.0,63243.87755102041,0.98,8.0,0.99,64185.0
2015,crd,7,0.8125,1,4,64185.0,64833.33333333334,0.99,8.0,1.02,64831.0
2016,crd,3,0.46875,2,1,64831.0,63559.80392156862,1.02,8.0,0.99,64217.0
2017,crd,4,0.5,3,1,64217.0,64865.65656565657,0.99,8.0,0.95,62013.0
2018,crd,1,0.1875,4,1,62013.0,65276.84210526317,0.95,8.0,0.943,61323.0
2006,atl,2,0.4375,3,1,70432.0,71143.43434343435,0.99,4.0,0.96,68395.0
2007,atl,0,0.25,4,1,68395.0,71244.79166666669,0.96,4.0,0.9,64065.0
2008,atl,2,0.6875,2,2,64065.0,71183.33333333331,0.9,4.0,0.96,68173.0
2009,atl,1,0.5625,2,1,68173.0,71013.54166666669,0.96,4.0,0.95,67850.0
2010,atl,9,0.8125,1,3,67850.0,71421.05263157895,0.95,4.0,0.97,68986.0
2011,atl,2,0.625,2,2,68986.0,71119.58762886598,0.97,4.0,0.98,70096.0
2012,atl,5,0.8125,1,4,70096.0,71526.5306122449,0.98,4.0,0.99,70224.0
2013,atl,1,0.25,3,1,70224.0,70933.33333333331,0.99,4.0,0.99,70502.0
2014,atl,3,0.375,3,1,70502.0,71214.14141414141,0.99,4.0,0.99,70355.0
2015,atl,4,0.5,2,1,70355.0,71065.65656565657,0.99,4.0,0.93,69999.0
2016,atl,6,0.6875,1,5,69999.0,75267.74193548386,0.93,4.0,0.96,71960.0
2017,atl,4,0.625,3,3,71960.0,74958.33333333334,0.96,4.0,0.97,72898.0
2018,atl,4,0.4375,2,1,72898.0,75152.57731958762,0.97,4.0,0.955,71601.0
2006,rav,7,0.8125,1,3,70818.0,68755.33980582524,1.03,4.0,1.03,71153.0
2007,rav,4,0.3125,4,1,71153.0,69080.58252427184,1.03,4.0,1.0,71269.0
2008,rav,5,0.6875,2,4,71269.0,71269.0,1.0,4.0,1.0,71082.0
2009,rav,5,0.5625,2,3,71082.0,71082.0,1.0,4.0,1.0,71227.0
2010,rav,5,0.75,2,3,71227.0,71227.0,1.0,4.0,1.0,71224.0
2011,rav,8,0.75,1,4,71224.0,71224.0,1.0,4.0,1.0,71278.0
2012,rav,6,0.625,1,6,71278.0,71278.0,1.0,4.0,1.0,71135.0
2013,rav,4,0.5,3,1,71135.0,71135.0,1.0,4.0,1.0,71044.0
2014,rav,4,0.625,3,3,71044.0,71044.0,1.0,4.0,1.0,71002.0
2015,rav,4,0.3125,3,1,71002.0,71002.0,1.0,4.0,1.0,71102.0
2016,rav,7,0.5,2,1,71102.0,71102.0,1.0,4.0,0.99,70588.0
2017,rav,3,0.5625,2,1,70588.0,71301.01010101009,0.99,4.0,0.99,70431.0
2018,rav,4,0.625,1,2,70431.0,71142.42424242424,0.99,4.0,0.995,70627.0
2006,buf,2,0.4375,3,1,67646.0,72737.63440860214,0.93,6.0,0.97,71054.0
2007,buf,2,0.4375,2,1,71054.0,73251.54639175258,0.97,6.0,0.98,71405.0
2008,buf,2,0.4375,4,1,71405.0,72862.24489795919,0.98,6.0,0.96,70128.0
2009,buf,1,0.375,4,1,70128.0,73050.0,0.96,6.0,0.87,63195.0
2010,buf,1,0.25,4,1,63195.0,72637.93103448275,0.87,6.0,0.86,62694.0
2011,buf,0,0.375,4,1,62694.0,72900.0,0.86,6.0,0.89,64950.0
2012,buf,3,0.375,4,1,64950.0,72977.52808988764,0.89,6.0,0.91,66267.0
2013,buf,4,0.375,4,1,66267.0,72820.87912087912,0.91,6.0,0.94,67522.0
2014,buf,3,0.5625,2,1,67522.0,71831.91489361702,0.94,6.0,0.96,69880.0
2015,buf,4,0.5,3,1,69880.0,72791.66666666669,0.96,6.0,0.94,68509.0
2016,buf,6,0.4375,3,1,68509.0,72881.91489361702,0.94,6.0,0.91,66775.0
2017,buf,3,0.5625,2,2,66775.0,73379.12087912088,0.91,6.0,0.9,64961.0
2018,buf,1,0.375,3,1,64961.0,72178.88888888889,0.9,6.0,0.958,68839.0
2006,car,3,0.5,2,1,73567.0,73567.0,1.0,4.0,1.0,73402.0
2007,car,0,0.4375,2,1,73402.0,73402.0,1.0,4.0,0.99,73210.0
2008,car,4,0.75,1,3,73210.0,73949.49494949495,0.99,4.0,0.99,73289.0
2009,car,4,0.5,3,1,73289.0,74029.29292929293,0.99,4.0,0.98,72620.0
2010,car,3,0.125,4,1,72620.0,74102.04081632654,0.98,4.0,0.98,72292.0
2011,car,3,0.375,3,1,72292.0,73767.34693877553,0.98,4.0,0.99,73293.0
2012,car,0,0.4375,2,1,73293.0,74033.33333333331,0.99,4.0,1.0,73443.0
2013,car,7,0.75,1,3,73443.0,73443.0,1.0,4.0,1.0,73607.0
2014,car,2,0.46875,1,3,73607.0,73607.0,1.0,4.0,1.0,74056.0
2015,car,10,0.9375,1,5,74056.0,74056.0,1.0,4.0,1.0,73792.0
2016,car,5,0.375,4,1,73792.0,73792.0,1.0,4.0,1.0,73617.0
2017,car,4,0.6875,2,2,73617.0,73617.0,1.0,4.0,1.0,73772.0
2018,car,3,0.4375,3,1,73772.0,73772.0,1.0,4.0,0.979,72220.0
2006,chi,8,0.8125,1,5,62223.0,66906.45161290323,0.93,2.0,0.93,62158.0
2007,chi,4,0.4375,4,1,62158.0,66836.55913978495,0.93,2.0,1.01,62034.0
2008,chi,1,0.5625,2,1,62034.0,61419.801980198026,1.01,2.0,1.01,62250.0
2009,chi,2,0.4375,3,1,62250.0,61633.66336633662,1.01,2.0,1.01,62195.0
2010,chi,4,0.6875,1,4,62195.0,61579.20792079208,1.01,2.0,1.01,62145.0
2011,chi,6,0.5,3,1,62145.0,61529.702970297025,1.01,2.0,1.01,62329.0
2012,chi,5,0.625,3,1,62329.0,61711.88118811881,1.01,2.0,1.01,62358.0
2013,chi,5,0.5,2,1,62358.0,61740.594059405936,1.01,2.0,1.0,61681.0
2014,chi,2,0.3125,4,1,61681.0,61681.0,1.0,2.0,1.01,62035.0
2015,chi,1,0.375,4,1,62035.0,61420.79207920793,1.01,2.0,0.98,60368.0
2016,chi,2,0.1875,4,1,60368.0,61600.0,0.98,2.0,0.99,61142.0
2017,chi,0,0.3125,4,1,61142.0,61759.595959595965,0.99,2.0,1.01,61815.0
2018,chi,8,0.75,1,2,61815.0,61202.9702970297,1.01,2.0,1.007,61916.0
2006,cin,3,0.5,2,1,65983.0,65329.702970297025,1.01,4.0,1.0,65790.0
2007,cin,2,0.4375,3,1,65790.0,65790.0,1.0,4.0,0.99,64582.0
2008,cin,0,0.28125,3,1,64582.0,65234.343434343435,0.99,4.0,0.98,64004.0
2009,cin,1,0.625,1,2,64004.0,65310.204081632655,0.98,4.0,0.92,60364.0
2010,cin,0,0.25,4,1,60364.0,65613.04347826086,0.92,4.0,0.75,49251.0
2011,cin,4,0.5625,3,2,49251.0,65668.0,0.75,4.0,0.93,61188.0
2012,cin,4,0.625,2,2,61188.0,65793.54838709677,0.93,4.0,0.97,63297.0
2013,cin,2,0.6875,1,2,63297.0,65254.639175257726,0.97,4.0,0.93,60703.0
2014,cin,4,0.65625,2,2,60703.0,65272.043010752684,0.93,4.0,0.94,61389.0
2015,cin,8,0.75,1,2,61389.0,65307.446808510635,0.94,4.0,0.92,60511.0
2016,cin,5,0.40625,3,1,60511.0,65772.82608695651,0.92,4.0,0.81,53275.0
2017,cin,3,0.4375,3,1,53275.0,65771.6049382716,0.81,4.0,0.78,50753.0
2018,cin,1,0.375,4,1,50753.0,65067.94871794872,0.78,4.0,0.72,47179.0
2006,cle,0,0.25,4,1,72334.0,71617.82178217822,1.01,2.0,1.01,73000.0
2007,cle,6,0.625,2,1,73000.0,72277.22772277228,1.01,2.0,0.99,72778.0
2008,cle,3,0.25,4,1,72778.0,73513.13131313129,0.99,2.0,0.94,68888.0
2009,cle,2,0.3125,4,1,68888.0,73285.10638297872,0.94,2.0,0.9,66116.0
2010,cle,2,0.3125,3,1,66116.0,73462.22222222223,0.9,2.0,0.9,65859.0
2011,cle,1,0.25,4,1,65859.0,73176.66666666669,0.9,2.0,0.91,66632.0
2012,cle,3,0.3125,4,1,66632.0,73221.97802197802,0.91,2.0,0.97,71242.0
2013,cle,6,0.25,4,1,71242.0,73445.36082474228,0.97,2.0,0.92,67425.0
2014,cle,4,0.4375,4,1,67425.0,73288.04347826086,0.92,2.0,0.9,66186.0
2015,cle,3,0.1875,4,1,66186.0,73540.0,0.9,2.0,0.88,64311.0
2016,cle,1,0.0625,4,1,64311.0,73080.68181818182,0.88,2.0,0.87,63882.0
2017,cle,1,0.0,4,1,63882.0,73427.58620689655,0.87,2.0,0.98,65765.0
2018,cle,4,0.46875,3,1,65765.0,67107.14285714286,0.98,2.0,1.0,67431.0
2006,dal,7,0.5625,2,2,63288.0,65925.0,0.96,4.0,0.97,63534.0
2007,dal,13,0.8125,1,3,63534.0,65498.96907216495,0.97,4.0,0.96,63368.0
2008,dal,6,0.5625,3,1,63368.0,66008.33333333334,0.96,4.0,1.12,89756.0
2009,dal,9,0.6875,1,3,89756.0,80139.28571428571,1.12,4.0,1.09,87047.0
