year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance
2006,crd,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,63603.0,-0.9540527240936971,1.0,1.8488477538759078,1.02,64580.0
2007,crd,-0.6580083464217319,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,64580.0,-0.9931073493622011,1.02,1.8488477538759078,1.01,64096.0
2008,crd,0.5826327773269824,0.3149783459830446,-1.3348169675988968,2.3869620999061967,64096.0,-0.9731718517797491,1.01,1.8488477538759078,1.0,63142.0
2009,crd,0.5826327773269824,0.6412059186083408,-1.3348169675988968,0.8727330177782031,63142.0,-1.0162918140881247,1.0,1.8488477538759078,0.99,62774.0
2010,crd,-0.24446130517216047,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,62774.0,-0.9803685443268846,0.99,1.8488477538759078,0.97,61181.0
2011,crd,-0.24446130517216047,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,61181.0,-1.025580981219705,0.97,1.8488477538759078,0.96,60890.0
2012,crd,-0.24446130517216047,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,60890.0,-0.9778030348272889,0.96,1.8488477538759078,0.96,61033.0
2013,crd,0.16908573607741093,0.6412059186083408,0.4626480036951401,-0.6414960643497905,61033.0,-0.9576923382681708,0.96,1.8488477538759078,0.98,61979.0
2014,crd,0.16908573607741093,0.967433491233637,-0.43608448195187843,0.11561847671420634,61979.0,-1.0025374408422008,0.98,1.8488477538759078,0.99,64185.0
2015,crd,1.4097268598261252,1.6198886364842293,-1.3348169675988968,1.6298475588421997,64185.0,-0.7879468085698835,0.99,1.8488477538759078,1.02,64831.0
2016,crd,-0.24446130517216047,-0.1743630129548997,-0.43608448195187843,-0.6414960643497905,64831.0,-0.9598845779177685,1.02,1.8488477538759078,0.99,64217.0
2017,crd,0.16908573607741093,-0.011249226642251609,0.4626480036951401,-0.6414960643497905,64217.0,-0.78358288543436,0.99,1.8488477538759078,0.95,62013.0
2018,crd,-1.0715553876713033,-1.6423870897687327,1.3613804893421588,-0.6414960643497905,62013.0,-0.7280691895471972,0.95,1.8488477538759078,0.943,61323.0
2006,atl,-0.6580083464217319,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,70432.0,0.06397281104314273,0.99,-0.1923002762359031,0.96,68395.0
2007,atl,-1.4851024289208747,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,68395.0,0.07765694892221406,0.96,-0.1923002762359031,0.9,64065.0
2008,atl,-0.6580083464217319,0.967433491233637,-0.43608448195187843,0.11561847671420634,64065.0,0.06935952866355184,0.9,-0.1923002762359031,0.96,68173.0
2009,atl,-1.0715553876713033,0.3149783459830446,-0.43608448195187843,-0.6414960643497905,68173.0,0.046436147270996285,0.96,-0.1923002762359031,0.95,67850.0
2010,atl,2.2368209423252683,1.6198886364842293,-1.3348169675988968,0.8727330177782031,67850.0,0.10145374297357812,0.95,-0.1923002762359031,0.97,68986.0
2011,atl,-0.6580083464217319,0.6412059186083408,-0.43608448195187843,0.11561847671420634,68986.0,0.060753293008235815,0.97,-0.1923002762359031,0.98,70096.0
2012,atl,0.5826327773269824,1.6198886364842293,-1.3348169675988968,1.6298475588421997,70096.0,0.11569420616468128,0.98,-0.1923002762359031,0.99,70224.0
2013,atl,-1.0715553876713033,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,70224.0,0.03560731066223533,0.99,-0.1923002762359031,0.99,70502.0
2014,atl,-0.24446130517216047,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,70502.0,0.07351889290210044,0.99,-0.1923002762359031,0.99,70355.0
2015,atl,0.16908573607741093,-0.011249226642251609,-0.43608448195187843,-0.6414960643497905,70355.0,0.05347212099828826,0.99,-0.1923002762359031,0.93,69999.0
2016,atl,0.9961798185765537,0.967433491233637,-1.3348169675988968,2.3869620999061967,69999.0,0.6207909268485029,0.93,-0.1923002762359031,0.96,71960.0
2017,atl,0.16908573607741093,0.6412059186083408,0.4626480036951401,0.8727330177782031,71960.0,0.579018020483435,0.96,-0.1923002762359031,0.97,72898.0
2018,atl,0.16908573607741093,-0.3374767992675478,-0.43608448195187843,-0.6414960643497905,72898.0,0.6052426819614319,0.97,-0.1923002762359031,0.955,71601.0
2006,rav,1.4097268598261252,1.6198886364842293,-1.3348169675988968,0.8727330177782031,70818.0,-0.25844113872140073,1.03,-0.1923002762359031,1.03,71153.0
2007,rav,0.16908573607741093,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,71153.0,-0.214530486175998,1.03,-0.1923002762359031,1.0,71269.0
2008,rav,0.5826327773269824,0.967433491233637,-0.43608448195187843,1.6298475588421997,71269.0,0.08092528869867226,1.0,-0.1923002762359031,1.0,71082.0
2009,rav,0.5826327773269824,0.3149783459830446,-0.43608448195187843,0.8727330177782031,71082.0,0.0556786296336875,1.0,-0.1923002762359031,1.0,71227.0
2010,rav,0.5826327773269824,1.2936610638589332,-0.43608448195187843,0.8727330177782031,71227.0,0.07525491607445108,1.0,-0.1923002762359031,1.0,71224.0
2011,rav,1.8232739010756964,1.2936610638589332,-1.3348169675988968,1.6298475588421997,71224.0,0.07484988945843528,1.0,-0.1923002762359031,1.0,71278.0
2012,rav,0.9961798185765537,0.6412059186083408,-1.3348169675988968,3.1440766409701935,71278.0,0.08214036854671965,1.0,-0.1923002762359031,1.0,71135.0
2013,rav,0.16908573607741093,-0.011249226642251609,0.4626480036951401,-0.6414960643497905,71135.0,0.0628340998499666,1.0,-0.1923002762359031,1.0,71044.0
