year,team,probowler_count,win%,division,playoffs,attendance,capacity,attend%,climate,year 1 attend%,year 1 attendance,predicted,difference
2008,dal,0.9961798185765536,0.3149783459830446,0.4626480036951401,-0.6414960643497905,63368.0,-0.629311383963696,0.96,-0.1923002762359031,1.12,89756.0,64669.45834750936,25086.54165249064
2016,dal,1.4097268598261252,1.619888636484229,-1.3348169675988968,0.8727330177782031,92539.0,1.229310753975465,1.16,-0.1923002762359031,0.93,92721.0,76984.64911445335,15736.35088554665
2014,dal,1.8232739010756964,1.2936610638589332,-1.3348169675988968,0.8727330177782031,90069.0,1.2201409035981174,1.13,-0.1923002762359031,0.92,91459.0,76671.66564156517,14787.334358434833
2013,dal,0.5826327773269824,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,88043.0,1.2649653697186725,1.1,-0.1923002762359031,1.13,90069.0,75450.6251324837,14618.374867516293
2011,dal,-0.6580083464217319,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,85512.0,1.2485842167780854,1.07,-0.1923002762359031,1.11,88531.0,74690.4129249545,13840.587075045507
2012,dal,-0.2444613051721605,-0.011249226642251607,0.4626480036951401,-0.6414960643497905,88531.0,1.226969383897895,1.11,-0.1923002762359031,1.1,88043.0,74562.00999869005,13480.990001309954
2006,was,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,87631.0,1.3130719922264378,1.09,-0.1923002762359031,1.1,88090.0,74653.63906582462,13436.360934175376
2015,ram,-0.2444613051721605,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,52402.0,-0.6976033717196943,0.8,2.359134761403861,0.9,74121.0,61594.1127440712,12526.8872559288
2007,was,0.16908573607741093,0.3149783459830446,0.4626480036951401,0.11561847671420634,88090.0,1.2707339306134438,1.1,-0.1923002762359031,0.97,88604.0,76681.81761420866,11922.18238579134
2010,dal,0.9961798185765536,-0.6637043718928439,0.4626480036951401,-0.6414960643497905,87047.0,1.2407369635557257,1.09,-0.1923002762359031,1.07,85512.0,74100.31756235547,11411.68243764453
2006,gnb,-0.6580083464217319,-0.011249226642251607,-0.4360844819518784,-0.6414960643497905,70718.0,-1.3103690701856654,1.16,0.8282737388200024,1.17,70805.0,59644.34749240389,11160.65250759611
2009,dal,2.2368209423252683,0.9674334912336371,-1.3348169675988968,0.8727330177782031,89756.0,1.2784925573488115,1.12,-0.1923002762359031,1.09,87047.0,76726.53852189872,10320.461478101279
2017,gnb,-0.6580083464217319,-0.3374767992675478,0.4626480036951401,-0.6414960643497905,78092.0,0.3123544688537171,1.07,0.8282737388200024,0.96,77834.0,67529.64081244962,10304.359187550377
2007,gnb,0.5826327773269824,1.619888636484229,-1.3348169675988968,1.6298475588421997,70805.0,-1.3706774099601349,1.17,0.8282737388200024,0.97,70682.0,60925.78927188684,9756.210728113161
2015,gnb,0.5826327773269824,0.6412059186083408,-0.4360844819518784,0.8727330177782031,78413.0,0.3528571304552969,1.07,0.8282737388200024,0.96,78215.0,68963.16183718028,9251.838162819724
2015,min,0.5826327773269824,0.9674334912336371,-1.3348169675988968,0.11561847671420634,52430.0,-2.4625068510085346,1.0,-1.2128742912918091,1.0,66786.0,57552.380574154915,9233.619425845085
2013,gnb,-1.071555387671303,0.1518645596703965,-1.3348169675988968,0.11561847671420634,77947.0,0.2940588740492662,1.07,0.8282737388200024,1.07,78139.0,69117.36896523344,9021.631034766557
2014,gnb,1.4097268598261252,1.2936610638589332,-1.3348169675988968,1.6298475588421997,78139.0,0.3182847651006768,1.07,0.8282737388200024,1.07,78413.0,69853.56334886799,8559.436651132011
2012,gnb,0.16908573607741093,0.9674334912336371,-1.3348169675988968,0.8727330177782031,70507.0,0.27245277168865795,0.97,0.8282737388200024,1.07,77947.0,69491.05068201742,8455.94931798258
2006,crd,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,63603.0,-0.9540527240936972,1.0,1.848847753875908,1.02,64580.0,56444.951364555796,8135.048635444204
2007,rav,0.16908573607741093,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,71153.0,-0.21453048617599801,1.03,-0.1923002762359031,1.0,71269.0,64492.80478469189,6776.195215308107
2013,htx,-0.2444613051721605,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,71658.0,0.03765695030324168,1.01,-0.1923002762359031,1.01,71766.0,65304.45993883255,6461.540061167449
2011,clt,-1.071555387671303,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,64828.0,-1.0435898215481405,1.03,-1.2128742912918091,1.04,65189.0,58852.95855341856,6336.041446581439
2012,phi,-1.4851024289208747,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,69144.0,-0.3890088279582453,1.02,-0.1923002762359031,1.02,69144.0,62859.5881466383,6284.4118533617
2007,nyj,-1.4851024289208747,-1.3161595171434366,0.4626480036951401,-0.6414960643497905,77106.0,1.0814209334676552,0.98,-0.1923002762359031,0.95,78482.0,72334.92375306852,6147.07624693148
2007,nyg,-1.071555387671303,0.6412059186083408,-0.4360844819518784,3.144076640970193,78731.0,1.0883614916019673,1.0,-0.1923002762359031,0.96,79069.0,73232.41074217246,5836.589257827538
2017,den,-0.6580083464217319,-0.9899319445181402,1.3613804893421588,-0.6414960643497905,76355.0,0.7675804117174552,1.0,-0.1923002762359031,1.0,76446.0,70609.86331173536,5836.13668826464
2007,phi,-0.2444613051721605,-0.011249226642251607,1.3613804893421588,-0.6414960643497905,68169.0,-0.6056629852669803,1.03,-0.1923002762359031,1.02,69144.0,63547.913271623656,5596.086728376344
2015,dal,0.5826327773269824,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,91459.0,3.880474103591916,0.92,-0.1923002762359031,1.16,92539.0,87284.55382149687,5254.446178503131
2010,car,-0.2444613051721605,-1.9686146623940288,1.3613804893421588,-0.6414960643497905,72620.0,0.4634109336557962,0.98,-0.1923002762359031,0.98,72292.0,67190.31604448307,5101.683955516928
2016,crd,-0.2444613051721605,-0.1743630129548997,-0.4360844819518784,-0.6414960643497905,64831.0,-0.9598845779177684,1.02,1.848847753875908,0.99,64217.0,59279.6790497519,4937.320950248097
2006,nyg,-0.2444613051721605,-0.011249226642251607,0.4626480036951401,0.11561847671420634,78613.0,1.072430444705346,1.0,-0.1923002762359031,1.0,78731.0,73812.58541709054,4918.414582909463
2010,den,-0.6580083464217319,-1.3161595171434366,1.3613804893421588,-0.6414960643497905,74908.0,0.7786153205415601,0.98,-0.1923002762359031,0.99,75327.0,70417.600700443,4909.399299557001
