Team Name,Games ,Total,Average,Percentage,Year
Los Angeles Chargers,8,"254,007","31,750",118,2019
San Francisco,8,"562,443","70,305",102.6,2019
Chicago,8,"495,332","61,916",100.7,2019
Seattle,8,"551,927","68,990",100.4,2019
Minnesota,8,"534,794","66,849",100.3,2019
New Orleans,8,"584,660","73,082",100.1,2019
Philadelphia,8,"558,268","69,783",100.1,2019
Cleveland,8,"539,448","67,431",100,2019
Denver,8,"607,497","75,937",99.8,2019
New England,8,"526,024","65,753",99.8,2019
Houston,8,"574,345","71,793",99.7,2019
Baltimore,8,"565,020","70,627",99.5,2019
Carolina,8,"577,765","72,220",97.9,2019
Miami,8,"504,540","63,067",97.4,2019
Indianapolis,8,"488,886","61,110",97,2019
Kansas City,8,"587,723","73,465",96.1,2019
Buffalo,8,"550,713","68,839",95.8,2019
Green Bay,8,"622,762","77,845",95.6,2019
Atlanta,8,"572,811","71,601",95.5,2019
NY Jets,8,"628,184","78,523",95.2,2019
Detroit,8,"490,737","61,342",95.1,2019
Arizona,8,"490,586","61,323",94.3,2019
Las Vegas,7,"367,848","52,549",93.8,2019
Tennessee,8,"516,074","64,509",93.3,2019
Jacksonville,8,"504,686","63,085",93,2019
Los Angeles Rams,7,"498,605","71,229",92.8,2019
Pittsburgh,8,"497,896","62,237",91,2019
Dallas,8,"727,432","90,929",90.9,2019
NY Giants,8,"597,316","74,664",90.5,2019
Washington,8,"523,906","65,488",79.9,2019
Tampa Bay,8,"415,189","51,898",79.1,2019
Cincinnati,8,"377,432","47,179",72,2019
Los Angeles Chargers,8,"262,145","32,768",121,2018
Las Vegas,8,"463,353","57,919",103,2018
Miami,8,"524,480","65,560",101,2018
San Francisco,8,"553,190","69,148",101,2018
Chicago,8,"494,525","61,815",101,2018
Seattle,8,"552,009","69,001",100,2018
Denver,8,"611,571","76,446",100,2018
New Orleans,8,"584,411","73,051",100,2018
Philadelphia,8,"557,568","69,696",100,2018
New England,8,"527,024","65,878",100,2018
Carolina,8,"590,182","73,772",100,2018
Minnesota,8,"534,491","66,811",100,2018
Houston,8,"574,439","71,804",100,2018
Kansas City,8,"607,780","75,972",99,2018
Baltimore,8,"563,451","70,431",99,2018
Jacksonville,7,"466,719","66,674",98,2018
Cleveland,8,"526,122","65,765",98,2018
Detroit,8,"502,361","62,795",97,2018
Atlanta,8,"583,184","72,898",97,2018
Green Bay,8,"622,677","77,834",96,2018
Arizona,8,"496,111","62,013",95,2018
NY Jets,8,"623,856","77,982",95,2018
Indianapolis,8,"473,598","59,199",94,2018
Tennessee,8,"516,161","64,520",93,2018
NY Giants,8,"615,525","76,940",93,2018
Pittsburgh,8,"507,651","63,456",93,2018
Dallas,8,"732,958","91,619",92,2018
Buffalo,8,"519,695","64,961",90,2018
Tampa Bay,8,"434,855","54,356",83,2018
Cincinnati,8,"406,028","50,753",78,2018
Los Angeles Rams,8,"579,439","72,429",77,2018
Washington,8,"488,227","61,028",74,2018
Green Bay,8,"624,742","78,092",107,2017
Miami,8,"541,022","67,627",104,2017
Seattle,8,"551,809","68,976",103,2017
San Francisco,8,"561,155","70,144",102,2017
Houston,8,"574,197","71,774",101,2017
Indianapolis,8,"507,525","63,440",101,2017
Denver,8,"610,846","76,355",100,2017
Philadelphia,8,"556,768","69,596",100,2017
New England,8,"527,024","65,878",100,2017
Carolina,8,"588,942","73,617",100,2017
Baltimore,8,"564,709","70,588",99,2017
Chicago,8,"489,137","61,142",99,2017
Arizona,8,"513,741","64,217",99,2017
Detroit,8,"513,100","64,137",99,2017
Kansas City,8,"592,851","74,106",97,2017
Atlanta,8,"575,681","71,960",96,2017
New Orleans,8,"585,113","73,139",96,2017
Jacksonville,8,"514,427","64,303",96,2017
Tennessee,8,"525,214","65,651",95,2017
NY Jets,8,"620,496","77,562",94,2017
NY Giants,8,"617,434","77,179",94,2017
Dallas,8,"741,775","92,721",93,2017
Las Vegas,8,"462,201","57,775",92,2017
Minnesota,8,"533,769","66,721",91,2017
Buffalo,8,"534,200","66,775",91,2017
Pittsburgh,8,"499,768","62,471",91,2017
Tampa Bay,8,"479,618","59,952",91,2017
Washington,8,"601,405","75,175",88,2017
Cleveland,8,"511,060","63,882",87,2017
Cincinnati,8,"426,207","53,275",81,2017
