year,team,win%,division,playoffs
2019,crd,0.34375,4,1
2018,crd,0.1875,4,1
2017,crd,0.5,3,1
2016,crd,0.46875,2,1
2015,crd,0.8125,1,4
2014,crd,0.6875,2,2
2013,crd,0.625,3,1
2012,crd,0.3125,4,1
2011,crd,0.5,2,1
2010,crd,0.3125,4,1
2009,crd,0.625,1,3
2008,crd,0.5625,1,5
2007,crd,0.5,2,1
2006,crd,0.3125,4,1
2019,atl,0.4375,2,1
2018,atl,0.4375,2,1
2017,atl,0.625,3,3
2016,atl,0.6875,1,5
2015,atl,0.5,2,1
2014,atl,0.375,3,1
2013,atl,0.25,3,1
2012,atl,0.8125,1,4
2011,atl,0.625,2,2
2010,atl,0.8125,1,3
2009,atl,0.5625,2,1
2008,atl,0.6875,2,2
2007,atl,0.25,4,1
2006,atl,0.4375,3,1
2019,rav,0.875,1,3
2018,rav,0.625,1,2
2017,rav,0.5625,2,1
2016,rav,0.5,2,1
2015,rav,0.3125,3,1
2014,rav,0.625,3,3
2013,rav,0.5,3,1
2012,rav,0.625,1,6
2011,rav,0.75,1,4
2010,rav,0.75,2,3
2009,rav,0.5625,2,3
2008,rav,0.6875,2,4
2007,rav,0.3125,4,1
2006,rav,0.8125,1,3
2019,buf,0.625,2,2
2018,buf,0.375,3,1
2017,buf,0.5625,2,2
2016,buf,0.4375,3,1
2015,buf,0.5,3,1
2014,buf,0.5625,2,1
2013,buf,0.375,4,1
2012,buf,0.375,4,1
2011,buf,0.375,4,1
2010,buf,0.25,4,1
2009,buf,0.375,4,1
2008,buf,0.4375,4,1
2007,buf,0.4375,2,1
2006,buf,0.4375,3,1
2019,car,0.3125,4,1
2018,car,0.4375,3,1
2017,car,0.6875,2,2
2016,car,0.375,4,1
2015,car,0.9375,1,5
2014,car,0.46875,1,3
2013,car,0.75,1,3
2012,car,0.4375,2,1
2011,car,0.375,3,1
2010,car,0.125,4,1
2009,car,0.5,3,1
2008,car,0.75,1,3
2007,car,0.4375,2,1
2006,car,0.5,2,1
2019,chi,0.5,3,1
2018,chi,0.75,1,2
2017,chi,0.3125,4,1
2016,chi,0.1875,4,1
2015,chi,0.375,4,1
2014,chi,0.3125,4,1
2013,chi,0.5,2,1
2012,chi,0.625,3,1
2011,chi,0.5,3,1
2010,chi,0.6875,1,4
2009,chi,0.4375,3,1
2008,chi,0.5625,2,1
2007,chi,0.4375,4,1
2006,chi,0.8125,1,5
2019,cin,0.125,4,1
2018,cin,0.375,4,1
2017,cin,0.4375,3,1
2016,cin,0.40625,3,1
2015,cin,0.75,1,2
2014,cin,0.65625,2,2
2013,cin,0.6875,1,2
2012,cin,0.625,2,2
2011,cin,0.5625,3,2
2010,cin,0.25,4,1
2009,cin,0.625,1,2
2008,cin,0.28125,3,1
2007,cin,0.4375,3,1
2006,cin,0.5,2,1
2019,cle,0.375,3,1
2018,cle,0.46875,3,1
2017,cle,0.0,4,1
2016,cle,0.0625,4,1
2015,cle,0.1875,4,1
2014,cle,0.4375,4,1
2013,cle,0.25,4,1
2012,cle,0.3125,4,1
2011,cle,0.25,4,1
2010,cle,0.3125,3,1
2009,cle,0.3125,4,1
